term,estimate,std.error,statistic,p.value
(Intercept),16.34199692839739,0.38548589127662014,42.39324265351793,1.3785027234872332e-175
area_mean,0.004417220040861994,5.56488760667546e-4,7.937662632329247,1.1602712838406398e-14
